[2024-01-12 14:07:05,359] INFO     | level    | Hit! 1 Note Type: 1
[2024-01-12 14:07:05,525] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-12 14:07:05,707] INFO     | level    | Hit! 3 Note Type: 1
[2024-01-12 14:07:05,892] INFO     | level    | Hit! 3 Note Type: 6
[2024-01-12 14:07:06,172] INFO     | level    | Hit! 1 Note Type: 5
[2024-01-12 14:07:06,301] INFO     | level    | Hit! 1 Note Type: 1
[2024-01-12 14:07:06,630] INFO     | level    | Hit! 1 Note Type: 1
[2024-01-12 14:07:06,859] INFO     | level    | Hit! 3 Note Type: 6
[2024-01-12 14:07:07,207] INFO     | level    | Hit! 3 Note Type: 1
[2024-01-12 14:07:07,407] INFO     | level    | Hit! 3 Note Type: 2
[2024-01-12 14:07:07,637] INFO     | level    | Hit! 0 Note Type: 1
[2024-01-12 14:07:07,735] INFO     | level    | Hit! 3 Note Type: 6
[2024-01-12 14:07:08,030] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-12 14:07:08,245] INFO     | level    | Hit! 4 Note Type: 1
[2024-01-12 14:07:08,360] INFO     | level    | Hit! 3 Note Type: 1
[2024-01-12 14:07:08,758] INFO     | level    | Hit! 3 Note Type: 6
[2024-01-12 14:07:09,058] INFO     | level    | Hit! 3 Note Type: 2
[2024-01-12 14:07:09,322] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-12 14:07:09,520] INFO     | level    | Hit! 3 Note Type: 6
[2024-01-12 14:07:09,857] INFO     | level    | Hit! 3 Note Type: 2
[2024-01-12 14:07:10,167] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-12 14:07:10,347] INFO     | level    | Hit! 2 Note Type: 1
[2024-01-12 14:07:10,561] INFO     | level    | Hit! 3 Note Type: 6
[2024-01-12 14:07:10,908] INFO     | level    | Hit! 4 Note Type: 1
[2024-01-12 14:07:11,072] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-12 14:07:11,255] INFO     | level    | Hit! 3 Note Type: 1
[2024-01-12 14:07:11,422] INFO     | level    | Hit! 3 Note Type: 6
[2024-01-12 14:07:11,734] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-12 14:07:12,014] INFO     | level    | Hit! 0 Note Type: 2
[2024-01-12 14:07:12,210] INFO     | level    | Hit! 1 Note Type: 1
[2024-01-12 14:07:12,456] INFO     | level    | Hit! 1 Note Type: 6
[2024-01-12 14:07:12,750] INFO     | level    | Hit! 3 Note Type: 1
[2024-01-12 14:07:12,902] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-12 14:07:13,134] INFO     | level    | Hit! 4 Note Type: 1
[2024-01-12 14:07:13,216] INFO     | level    | Hit! 4 Note Type: 6
[2024-01-12 14:07:13,580] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-12 14:07:13,807] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-12 14:07:14,024] INFO     | level    | Hit! 1 Note Type: 1
[2024-01-12 14:07:14,257] INFO     | level    | Hit! 1 Note Type: 6
[2024-01-12 14:07:14,587] INFO     | level    | Hit! 0 Note Type: 1
[2024-01-12 14:07:14,718] INFO     | level    | Hit! 3 Note Type: 2
[2024-01-12 14:07:15,050] INFO     | level    | Hit! 2 Note Type: 1
[2024-01-12 14:07:15,284] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-12 14:07:15,750] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-12 14:07:16,099] INFO     | level    | Hit! 4 Note Type: 6
[2024-01-12 14:07:16,443] INFO     | level    | Hit! 1 Note Type: 1
[2024-01-12 14:07:16,576] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-12 14:07:16,836] INFO     | level    | Hit! 0 Note Type: 1
[2024-01-12 14:07:16,899] INFO     | level    | Hit! 0 Note Type: 6
[2024-01-12 14:07:17,250] INFO     | level    | Hit! 3 Note Type: 2
[2024-01-12 14:07:17,531] INFO     | level    | Hit! 0 Note Type: 2
[2024-01-12 14:07:17,716] INFO     | level    | Hit! 3 Note Type: 2
[2024-01-12 14:07:17,937] INFO     | level    | Hit! 3 Note Type: 6
[2024-01-12 14:07:18,282] INFO     | level    | Hit! 3 Note Type: 1
[2024-01-12 14:07:18,447] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-12 14:07:18,674] INFO     | level    | Hit! 2 Note Type: 1
[2024-01-12 14:07:19,103] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-12 14:07:19,349] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-12 14:07:19,715] INFO     | level    | Hit! 2 Note Type: 6
[2024-01-12 14:07:20,048] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-12 14:07:20,248] INFO     | level    | Hit! 4 Note Type: 1
[2024-01-12 14:07:20,411] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-12 14:07:20,741] INFO     | level    | Hit! 2 Note Type: 5
[2024-01-12 14:07:21,090] INFO     | level    | Hit! 1 Note Type: 1
[2024-01-12 14:07:21,222] INFO     | level    | Hit! 3 Note Type: 1
[2024-01-12 14:07:21,436] INFO     | level    | Hit! 3 Note Type: 1
[2024-01-12 14:07:21,585] INFO     | level    | Hit! 1 Note Type: 1
[2024-01-12 14:07:21,668] INFO     | level    | Hit! 4 Note Type: 6
[2024-01-12 14:07:21,984] INFO     | level    | Hit! 2 Note Type: 1
[2024-01-12 14:07:22,132] INFO     | level    | Hit! 3 Note Type: 2
[2024-01-12 14:07:22,446] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-12 14:07:22,815] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-12 14:07:23,015] INFO     | level    | Hit! 3 Note Type: 2
[2024-01-12 14:07:23,283] INFO     | level    | Hit! 2 Note Type: 1
[2024-01-12 14:07:23,434] INFO     | level    | Hit! 2 Note Type: 1
[2024-01-12 14:07:23,564] INFO     | level    | Hit! 0 Note Type: 6
[2024-01-12 14:07:23,764] INFO     | level    | Hit! 0 Note Type: 2
[2024-01-12 14:07:24,000] INFO     | level    | Hit! 3 Note Type: 1
[2024-01-12 14:07:24,064] INFO     | level    | Hit! 3 Note Type: 2
[2024-01-12 14:07:24,356] INFO     | level    | Hit! 0 Note Type: 2
[2024-01-12 14:07:24,654] INFO     | level    | Hit! 1 Note Type: 1
[2024-01-12 14:07:24,919] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-12 14:07:25,115] INFO     | level    | Hit! 2 Note Type: 2
[2024-01-12 14:07:25,329] INFO     | level    | Hit! 0 Note Type: 6
[2024-01-12 14:07:25,563] INFO     | level    | Hit! 4 Note Type: 1
[2024-01-12 14:07:25,711] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-12 14:07:26,091] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-12 14:07:26,357] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-12 14:07:26,737] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-12 14:07:26,940] INFO     | level    | Hit! 4 Note Type: 1
[2024-01-12 14:07:27,100] INFO     | level    | Hit! 4 Note Type: 6
[2024-01-12 14:07:27,433] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-12 14:07:27,703] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-12 14:07:28,014] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-12 14:07:28,791] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-12 14:07:29,042] INFO     | level    | Hit! 4 Note Type: 6
[2024-01-12 14:07:29,357] INFO     | level    | Hit! 0 Note Type: 1
[2024-01-12 14:07:29,732] INFO     | level    | Hit! 0 Note Type: 1
[2024-01-12 14:07:29,916] INFO     | level    | Hit! 0 Note Type: 2
[2024-01-12 14:07:30,165] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-12 14:07:30,431] INFO     | level    | Hit! 1 Note Type: 2
